Date,INFY.NS,INR=X,RELIANCE.NS,TCS.NS
2023-05-12,1142.0068359375,82.10030364990234,1134.097412109375,3011.27490234375
2023-05-15,1154.0673828125,82.20030212402344,1136.334228515625,2993.5712890625
2023-05-16,1159.5240478515625,82.2667007446289,1120.1514892578125,2996.42236328125
2023-05-17,1143.5660400390625,82.2959976196289,1113.5321044921875,2950.944580078125
2023-05-18,1142.7406005859375,82.45030212402344,1111.1357421875,2942.805908203125
2023-05-19,1163.742919921875,82.72509765625,1114.741943359375,2963.9580078125
2023-05-22,1185.6622314453125,82.90480041503906,1120.69921875,3033.71533203125
2023-05-23,1192.3114013671875,82.82499694824219,1120.4937744140625,3032.197509765625
2023-05-24,1191.027587890625,82.8906021118164,1113.9658203125,3037.991943359375
2023-05-25,1196.255126953125,82.71369934082031,1113.8289794921875,3028.932861328125
2023-05-26,1208.269287109375,82.74210357666016,1144.2088623046875,3061.489501953125
2023-05-29,1205.4722900390625,82.57479858398438,1150.6453857421875,3053.6259765625
2023-05-30,1214.13916015625,82.57969665527344,1150.3486328125,3049.809326171875
2023-05-31,1209.049072265625,82.68389892578125,1127.5008544921875,3025.254638671875
2023-06-01,1210.1495361328125,82.66680145263672,1124.4652099609375,3056.98291015625
2023-06-02,1207.361328125,82.27670288085938,1120.7904052734375,3040.060791015625
2023-06-05,1212.4732666015625,82.40979766845703,1130.8563232421875,3024.702392578125
2023-06-06,1188.7720947265625,82.51119995117188,1131.8148193359375,2972.649658203125
2023-06-07,1198.0201416015625,82.51719665527344,1140.3970947265625,3011.826904296875
2023-06-08,1192.303955078125,82.61810302734375,1141.081787109375,2976.465576171875
2023-06-09,1176.642578125,82.48829650878906,1133.001708984375,2951.4970703125
2023-06-12,1200.80859375,82.4448013305664,1134.006103515625,2986.076171875
2023-06-13,1212.798583984375,82.33719635009766,1150.759521484375,2983.13330078125
2023-06-14,1208.6624755859375,82.29039764404297,1164.9107666015625,2989.89306640625
2023-06-15,1196.02197265625,82.04499816894531,1165.23046875,2979.932861328125
2023-06-16,1200.52978515625,81.9126968383789,1176.574462890625,2941.57568359375
2023-06-19,1202.7139892578125,81.91480255126953,1164.8880615234375,2974.46630859375
2023-06-20,1211.4508056640625,81.98139953613281,1167.3074951171875,2990.494873046875
2023-06-21,1207.6865234375,81.9917984008789,1170.59423828125,3018.753662109375
2023-06-22,1191.1422119140625,81.94149780273438,1157.4471435546875,3000.5009765625
2023-06-23,1175.759765625,81.91929626464844,1147.9749755859375,2979.979736328125
2023-06-26,1180.732421875,81.98480224609375,1139.2100830078125,2955.24169921875
2023-06-27,1188.91162109375,82.00650024414062,1139.62109375,2962.375732421875
2023-06-28,1202.10986328125,81.99839782714844,1154.708251953125,2979.1455078125
2023-06-29,,82.02649688720703,,
2023-06-30,1241.286376953125,82.07540130615234,1164.1805419921875,3059.566162109375
2023-07-03,1239.61328125,82.09629821777344,1194.058349609375,3031.81787109375
2023-07-04,1250.2554931640625,81.95010375976562,1181.755615234375,3065.68115234375
2023-07-05,1252.2537841796875,82.0071029663086,1179.8155517578125,3075.965576171875
2023-07-06,1249.09375,82.39409637451172,1204.5804443359375,3078.698974609375
2023-07-07,1236.360107421875,82.76840209960938,1202.2294921875,3084.582275390625
2023-07-10,1235.3843994140625,82.61530303955078,1248.541015625,3031.49267578125
2023-07-11,1253.462158203125,82.52529907226562,1262.0760498046875,3031.910400390625
2023-07-12,1239.2415771484375,82.39990234375,1263.468505859375,3020.328857421875
2023-07-13,1268.798095703125,82.00180053710938,1252.170166015625,3095.0517578125
2023-07-14,1325.35546875,82.03079986572266,1251.120361328125,3256.357177734375
2023-07-17,1322.5670166015625,82.07679748535156,1276.68408203125,3235.09375
2023-07-18,1371.1309814453125,82.06159973144531,1287.52587890625,3239.864990234375
2023-07-19,1370.8988037109375,82.07540130615234,1297.294921875,3215.034912109375
2023-07-20,1347.244140625,82.06169891357422,1295.723876953125,3217.125
2023-07-21,1237.661376953125,82.0823974609375,1255.6134033203125,3128.877685546875
2023-07-24,1242.3087158203125,81.99030303955078,1230.216796875,3153.447509765625
2023-07-25,1240.4498291015625,81.81420135498047,1229.425537109375,3157.53515625
2023-07-26,1253.6944580078125,81.95010375976562,1249.406494140625,3147.455810546875
2023-07-27,1257.6912841796875,81.97550201416016,1237.7838134765625,3155.4443359375
2023-07-28,1245.93359375,82.3749008178711,1250.2225341796875,3116.894287109375
2023-07-31,1260.0611572265625,82.25279998779297,1260.8065185546875,3178.249755859375
2023-08-01,1268.8912353515625,82.2332992553711,1242.976806640625,3206.67431640625
2023-08-02,1261.1302490234375,82.30729675292969,1229.697509765625,3196.08447265625
2023-08-03,1268.0546875,82.7332992553711,1224.529052734375,3158.277587890625
2023-08-04,1281.1134033203125,82.7843017578125,1241.1717529296875,3198.778564453125
2023-08-07,1294.72998046875,82.69529724121094,1248.2442626953125,3236.39990234375
2023-08-08,1292.12744140625,82.74829864501953,1240.7265625,3223.906005859375
2023-08-09,1296.03125,82.84500122070312,1248.911865234375,3216.382080078125
2023-08-10,1291.1051025390625,82.86630249023438,1254.475830078125,3197.431640625
2023-08-11,1275.072021484375,82.79989624023438,1259.767822265625,3203.655517578125
2023-08-14,1295.2412109375,82.89730072021484,1274.65478515625,3204.631103515625
2023-08-15,,83.2333984375,,
2023-08-16,1318.43115234375,83.19419860839844,1273.6160888671875,3212.5732421875
2023-08-17,1311.971435546875,83.23699951171875,1255.2425537109375,3191.533203125
2023-08-18,1290.8262939453125,83.09829711914062,1264.5406494140625,3127.76318359375
2023-08-21,1306.2552490234375,83.16729736328125,1250.74267578125,3159.857421875
2023-08-22,1304.7215576171875,83.1135025024414,1250.44482421875,3141.7431640625
2023-08-23,1308.62548828125,83.07330322265625,1251.8345947265625,3156.698974609375
2023-08-24,1323.171142578125,82.5447006225586,1230.7904052734375,3146.94482421875
2023-08-25,1319.918212890625,82.64140319824219,1225.1075439453125,3140.95361328125
2023-08-28,1315.7822265625,82.66429901123047,1212.897705078125,3135.6123046875
2023-08-29,1317.64111328125,82.69149780273438,1201.2838134765625,3136.169677734375
2023-08-30,1333.9066162109375,82.49469757080078,1200.142333984375,3149.91748046875
2023-08-31,1334.185302734375,82.70040130615234,1194.6578369140625,3118.195068359375
2023-09-01,1341.9927978515625,82.68240356445312,1197.4619140625,3139.003173828125
2023-09-04,1361.74365234375,82.6969985961914,1196.494140625,3175.509033203125
2023-09-05,1374.5701904296875,82.7345962524414,1202.89697265625,3185.587890625
2023-09-06,1373.2222900390625,83.08609771728516,1205.4281005859375,3186.0986328125
2023-09-07,1362.7659912109375,83.25740051269531,1207.06591796875,3209.647216796875
2023-09-08,1365.9261474609375,83.24150085449219,1215.1064453125,3197.245849609375
2023-09-11,1372.2928466796875,83.03130340576172,1228.20947265625,3233.241943359375
2023-09-12,1395.2041015625,82.94329833984375,1210.4658203125,3326.272705078125
2023-09-13,1392.64794921875,82.84300231933594,1216.52099609375,3314.2431640625
2023-09-14,1400.6412353515625,82.93679809570312,1217.6376953125,3306.997802734375
2023-09-15,1404.9632568359375,83.0282974243164,1219.89599609375,3342.529052734375
2023-09-18,1386.5601806640625,83.08580017089844,1209.274658203125,3349.82080078125
2023-09-19,,83.25489807128906,,
2023-09-20,1385.1195068359375,83.19499969482422,1182.3240966796875,3349.72802734375
2023-09-21,1395.8082275390625,83.08699798583984,1173.7127685546875,3330.453369140625
2023-09-22,1390.603271484375,82.89129638671875,1168.823974609375,3347.498291015625
2023-09-25,1370.1552734375,82.97480010986328,1161.6273193359375,3322.88232421875
2023-09-26,1357.6075439453125,83.0282974243164,1162.644775390625,3330.824462890625
2023-09-27,1363.509521484375,83.29869842529297,1175.747802734375,3334.168701171875
2023-09-28,1337.9029541015625,83.22270202636719,1158.4757080078125,3285.354248046875
2023-09-29,1334.185302734375,83.19300079345703,1163.8856201171875,3277.78369140625
2023-10-02,,83.03479766845703,,
2023-10-03,1332.837646484375,83.3593978881836,1150.5592041015625,3264.081787109375
2023-10-04,1342.4573974609375,83.22979736328125,1148.5738525390625,3286.283203125
2023-10-05,1360.2100830078125,83.44979858398438,1148.5491943359375,3334.21533203125
2023-10-06,1374.3841552734375,83.22489929199219,1150.4847412109375,3363.98681640625
2023-10-09,1371.363525390625,83.12460327148438,1140.6822509765625,3379.732421875
2023-10-10,1389.6737060546875,83.27030181884766,1145.719970703125,3370.95361328125
2023-10-11,1388.9765625,83.25029754638672,1163.910400390625,3353.30419921875
2023-10-12,1362.1153564453125,83.21800231933594,1166.0693359375,3290.74169921875
2023-10-13,1330.1885986328125,83.26239776611328,1166.019775390625,3317.0302734375
2023-10-16,1332.97705078125,83.28230285644531,1163.4140625,3273.556640625
2023-10-17,1340.6915283203125,83.19950103759766,1168.972900390625,3257.764892578125
2023-10-18,1338.9254150390625,83.26429748535156,1153.4627685546875,3239.372314453125
2023-10-19,1332.5123291015625,83.26860046386719,1144.603271484375,3218.324462890625
2023-10-20,1326.563720703125,83.12229919433594,1141.104248046875,3254.552978515625
2023-10-23,1309.27587890625,83.15979766845703,1123.2860107421875,3175.948974609375
2023-10-24,,83.02940368652344,,
2023-10-25,1289.88134765625,82.98780059814453,1120.680419921875,3157.2763671875
2023-10-26,1279.901611328125,83.1709976196289,1105.07080078125,3107.590576171875
2023-10-27,1299.57861328125,83.28250122070312,1124.5765380859375,3120.81494140625
2023-10-30,1296.4718017578125,83.41339874267578,1147.7550048828125,3146.51953125
2023-10-31,1288.327880859375,83.29650115966797,1135.5452880859375,3137.392578125
2023-11-01,1274.9117431640625,83.2771987915039,1140.2603759765625,3101.908935546875
2023-11-02,1289.975341796875,85.19400024414062,1151.57666015625,3129.3369140625
2023-11-03,1307.76953125,83.24729919433594,1151.3284912109375,3120.768310546875
2023-11-06,1321.185791015625,83.15850067138672,1160.9075927734375,3148.10302734375
2023-11-07,1322.127197265625,83.2228012084961,1153.3634033203125,3138.9755859375
2023-11-08,1309.60546875,83.23269653320312,1159.3690185546875,3149.31396484375
2023-11-09,1294.353515625,83.21769714355469,1146.787109375,3117.55517578125
2023-11-10,1288.75146484375,83.31939697265625,1148.9461669921875,3104.516845703125
2023-11-13,1293.1763916015625,83.29889678955078,1148.79736328125,3102.7470703125
2023-11-14,,83.19760131835938,,
2023-11-15,1327.96435546875,82.98159790039062,1169.5684814453125,3170.501220703125
2023-11-16,1360.3514404296875,83.18620300292969,1171.6778564453125,3257.62646484375
2023-11-17,1353.4315185546875,83.12030029296875,1169.121826171875,3261.910400390625
2023-11-20,1352.537109375,83.29149627685547,1166.0445556640625,3277.883056640625
2023-11-21,1354.796630859375,83.32219696044922,1180.7109375,3269.127685546875
2023-11-22,1372.49658203125,83.345703125,1185.3267822265625,3287.707763671875
2023-11-23,1364.4468994140625,83.54830169677734,1188.9500732421875,3267.31201171875
2023-11-24,1353.2904052734375,83.34400177001953,1188.1558837890625,3219.6748046875
2023-11-27,,83.31449890136719,,
2023-11-28,1358.280029296875,83.364501953125,1188.404052734375,3231.828369140625
2023-11-29,1374.1912841796875,83.41809844970703,1191.5308837890625,3272.434326171875
2023-11-30,1370.0015869140625,83.3302993774414,1179.9913330078125,3248.080322265625
2023-12-01,1367.3184814453125,83.35269927978516,1188.3544921875,3270.478271484375
2023-12-04,1378.6632080078125,83.21859741210938,1201.2093505859375,3271.2236328125
2023-12-05,1368.871826171875,83.41709899902344,1209.919921875,3289.05859375
2023-12-06,1388.0311279296875,83.31590270996094,1221.5091552734375,3356.57958984375
2023-12-07,1380.1226806640625,83.28959655761719,1219.4989013671875,3366.637451171875
2023-12-08,1403.895263671875,83.35489654541016,1218.8536376953125,3377.62744140625
2023-12-11,1401.400146484375,83.43009948730469,1220.6405029296875,3392.714599609375
2023-12-12,1389.6788330078125,83.34349822998047,1203.1201171875,3419.909423828125
2023-12-13,1364.2115478515625,83.39600372314453,1208.03369140625,3346.75390625
2023-12-14,1413.5924072265625,83.2853012084961,1223.0228271484375,3415.392333984375
2023-12-15,1486.039794921875,83.29660034179688,1238.63232421875,3595.836669921875
2023-12-18,1472.811767578125,83.04170227050781,1251.239013671875,3594.159912109375
2023-12-19,1467.115966796875,83.11119842529297,1269.6527099609375,3554.113037109375
2023-12-20,1446.497314453125,83.09159851074219,1254.2913818359375,3520.445556640625
2023-12-21,1446.1207275390625,83.26719665527344,1271.8614501953125,3527.384033203125
2023-12-22,1471.44677734375,83.13159942626953,1273.102294921875,3561.37744140625
2023-12-25,,83.16500091552734,,
2023-12-26,1453.60546875,83.17230224609375,1279.554443359375,3534.880859375
2023-12-27,1475.40087890625,83.18280029296875,1283.9222412109375,3549.4560546875
2023-12-28,1471.2113037109375,83.26719665527344,1293.2034912109375,3538.93212890625
2023-12-29,1452.616943359375,82.302001953125,1282.97900390625,3532.878662109375
2024-01-01,1460.572509765625,83.24859619140625,1285.609619140625,3549.36328125
2024-01-02,1444.6143798828125,83.20259857177734,1296.255859375,3523.379150390625
2024-01-03,1402.8126220703125,83.25700378417969,1282.16015625,3438.20947265625
2024-01-04,1424.18408203125,83.31809997558594,1288.7860107421875,3414.97314453125
2024-01-05,1442.8726806640625,83.2406005859375,1294.2705078125,3481.1904296875
2024-01-08,1433.693115234375,83.19110107421875,1284.1702880859375,3425.683349609375
2024-01-09,1439.8128662109375,83.05069732666016,1280.7705078125,3436.48681640625
2024-01-10,1430.962890625,83.131103515625,1315.3148193359375,3458.047119140625
2024-01-11,1406.7666015625,83.02559661865234,1349.9088134765625,3479.00146484375
2024-01-12,1518.3797607421875,83.07610321044922,1360.6541748046875,3616.139404296875
2024-01-15,1555.427001953125,82.87210083007812,1383.88232421875,3635.69677734375
2024-01-16,1536.07958984375,82.8593978881836,1364.5255126953125,3596.115478515625
2024-01-17,1544.223388671875,83.08899688720703,1351.5712890625,3617.8154296875
2024-01-18,1546.4830322265625,83.17759704589844,1357.8995361328125,3634.57958984375
2024-01-19,1562.1114501953125,83.16059875488281,1357.4031982421875,3697.83447265625
2024-01-22,,83.12470245361328,,
2024-01-23,1546.059326171875,83.09510040283203,1318.8138427734375,3618.30810546875
2024-01-24,1577.3636474609375,83.22139739990234,1334.00146484375,3602.88134765625
2024-01-25,1571.4322509765625,83.09760284423828,1343.1337890625,3573.34033203125
2024-01-26,,83.14610290527344,,
2024-01-29,1559.663818359375,83.12129974365234,1437.4111328125,3564.618408203125
2024-01-30,1554.81494140625,83.1530990600586,1397.2830810546875,3564.19677734375
2024-01-31,1563.712158203125,83.10970306396484,1416.1435546875,3578.638671875
2024-02-01,1560.087646484375,83.05359649658203,1416.1683349609375,3614.463134765625
2024-02-02,1594.26318359375,82.92759704589844,1446.9901123046875,3719.638427734375
2024-02-05,1588.4732666015625,82.99929809570312,1428.452392578125,3726.203369140625
2024-02-06,1628.2508544921875,83.10369873046875,1417.309814453125,3878.785400390625
2024-02-07,1594.6400146484375,83.07060241699219,1431.554443359375,3829.4560546875
2024-02-08,1593.08642578125,83.01260375976562,1439.4708251953125,3877.003662109375
2024-02-09,1571.6676025390625,82.98529815673828,1450.0177001953125,3876.62841796875
2024-02-12,1581.7886962890625,83.0145034790039,1441.679443359375,3864.43701171875
2024-02-13,1585.978271484375,82.99019622802734,1454.3358154296875,3891.445556640625
2024-02-14,1568.7021484375,83.07460021972656,1470.4912109375,3845.11767578125
2024-02-15,1578.2581787109375,83.04309844970703,1459.7952880859375,3848.024658203125
2024-02-16,1602.0777587890625,83.00959777832031,1449.843994140625,3871.563720703125
2024-02-19,1600.2889404296875,83.01599884033203,1463.17041015625,3848.587890625
2024-02-20,1586.6373291015625,83.02100372314453,1460.2174072265625,3779.986572265625
2024-02-21,1558.67529296875,82.8291015625,1456.916748046875,3743.271240234375
2024-02-22,1582.9654541015625,82.93840026855469,1470.8634033203125,3832.92578125
2024-02-23,1578.728759765625,82.87229919433594,1482.6512451171875,3800.102783203125
2024-02-26,1563.006103515625,82.88179779052734,1476.3974609375,3752.2275390625
2024-02-27,1566.2542724609375,82.85199737548828,1474.73486328125,3849.150390625
2024-02-28,1573.4566650390625,82.94819641113281,1444.930419921875,3862.7958984375
2024-02-29,1575.951416015625,82.91190338134766,1450.0675048828125,3840.428466796875
2024-03-01,1557.875,82.910400390625,1481.1622314453125,3839.7255859375
2024-03-04,1541.3990478515625,82.84609985351562,1496.3250732421875,3826.924072265625
2024-03-05,1512.495361328125,82.9104995727539,1489.1778564453125,3762.590576171875
2024-03-06,1522.89892578125,82.88480377197266,1491.9573974609375,3811.5439453125
2024-03-07,1521.8631591796875,82.81909942626953,1468.059326171875,3853.089599609375
2024-03-08,,82.7522964477539,,
2024-03-11,1506.9405517578125,82.7520980834961,1455.82470703125,3865.984130859375
2024-03-12,1518.56787109375,82.7782974243164,1464.5850830078125,3931.537109375
2024-03-13,1517.108642578125,82.83509826660156,1421.6527099609375,3890.976318359375
2024-03-14,1556.5570068359375,82.83110046386719,1420.9578857421875,3945.93212890625
2024-03-15,1538.38623046875,82.9655990600586,1407.80517578125,3956.857666015625
2024-03-18,1508.8707275390625,82.88890075683594,1428.8990478515625,3894.2587890625
2024-03-19,1470.0814208984375,82.86360168457031,1414.778564453125,3729.954833984375
2024-03-20,1463.9617919921875,83.04239654541016,1433.142578125,3723.952392578125
2024-03-21,1463.7264404296875,83.05460357666016,1440.3145751953125,3725.874755859375
2024-03-22,1420.559326171875,83.22660064697266,1444.3348388671875,3667.68408203125
2024-03-25,,83.59359741210938,,
2024-03-26,1405.307373046875,83.41739654541016,1430.983642578125,3636.36083984375
2024-03-27,1397.022216796875,83.34549713134766,1481.8819580078125,3602.037353515625
2024-03-28,1410.391357421875,83.36499786376953,1474.933349609375,3635.23583984375
2024-03-29,,83.39299774169922,,
2024-04-01,1407.9434814453125,83.36479949951172,1473.8663330078125,3673.170166015625
2024-04-02,1396.0806884765625,83.40969848632812,1476.025146484375,3642.26904296875
2024-04-03,1394.0096435546875,83.35030364990234,1460.7880859375,3701.8203125
2024-04-04,1399.7054443359375,83.37329864501953,1452.1768798828125,3754.33740234375
2024-04-05,1392.5501708984375,83.47779846191406,1449.3724365234375,3731.783447265625
2024-04-08,1390.2906494140625,83.29679870605469,1475.057373046875,3725.499755859375
2024-04-09,1407.378662109375,83.26959991455078,1452.896484375,3701.11669921875
2024-04-10,1418.6295166015625,83.22429656982422,1468.7044677734375,3736.84716796875
2024-04-11,,83.4126968383789,,
2024-04-12,1397.8695068359375,83.34929656982422,1456.3707275390625,3752.555419921875
2024-04-15,1382.2410888671875,83.61109924316406,1454.062744140625,3696.099365234375
2024-04-16,1331.68310546875,83.50599670410156,1454.9810791015625,3631.953369140625
2024-04-17,,83.6675033569336,,
2024-04-18,1336.202392578125,83.5958023071289,1453.56640625,3621.8251953125
2024-04-19,1328.6705322265625,83.54499816894531,1459.323974609375,3588.25146484375
2024-04-22,1348.912353515625,83.38529968261719,1468.9774169921875,3624.26318359375
2024-04-23,1357.9976806640625,83.38619995117188,1448.603271484375,3633.735107421875
2024-04-24,1347.0294189453125,83.2833023071289,1439.5205078125,3592.7998046875
2024-04-25,1354.27880859375,83.3405990600586,1449.2484130859375,3612.6337890625
2024-04-26,1346.5587158203125,83.30180358886719,1441.878173828125,3583.702880859375
2024-04-29,1350.7952880859375,83.40229797363281,1454.2613525390625,3629.514892578125
2024-04-30,1337.42626953125,83.45110321044922,1456.2218017578125,3583.046630859375
